Class,Precision,Recall,F1-Score
early_blight_leaf,0.9930394431554525,0.856,0.9194414607948442
healthy_leaf,0.9736585365853658,0.998,0.985679012345679
late_blight_leaf,0.9557086614173228,0.971,0.9632936507936508
septoria_leaf,0.9006381039197813,0.988,0.9422985216976634
